# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0007005	mitochondrion organization	1	4.619491e-34	5.966997e-30	5.966997e-30	3.583852e+0	3.487868e+1	125	3.487868e-2	1.250000e-1	1	2.303597e-34	2.975556e-30	2.975556e-30	3.383689e+0	3.635085e+1	123	540	9.731013e-2	2.277778e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,AIP,ATG12,ATG13,ATG14,ATG4B,ATP5F1,ATP5G2,ATP5J2,ATPIF1,BAD,BAK1,BAX,CAMKMT,COX10,DARS2,DMAC2,DNAJA3,DNAJC11,DNLZ,ECSIT,ERAL1,EYA2,GADD45GIP1,GATB,HCFC1,HMGCL,HTRA2,IMMP1L,IMMT,JTB,KIAA0391,LARS2,LONP1,LYRM7,MAP1LC3B,MFF,MFN1,MFN2,MGARP,MGME1,MIGA1,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MTFP1,MTO1,MTX1,MTX3,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFAF6,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,NRF1,OXA1L,PHB2,PMPCA,PNPT1,POLDIP2,PPRC1,PRDX3,PTCD2,PTCD3,QRSL1,SAMM50,SLIRP,TIMM22,TIMM29,TIMM44,TIMM50,TMEM11,TOMM22,TOMM40L,TP53,UQCC2,UQCR10,YARS2
GO Biological Process	GO:0032543	mitochondrial translation	2	4.907983e-32	6.339642e-28	3.169821e-28	9.916997e+0	4.941012e+0	49	4.941012e-3	4.900000e-2	3	3.557996e-28	4.595863e-24	1.531954e-24	6.664025e+0	7.202855e+0	48	107	3.797468e-2	4.485981e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,DARS2,ERAL1,GADD45GIP1,GATB,LARS2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,NDUFA7,PTCD3,QRSL1,YARS2
GO Biological Process	GO:0070125	mitochondrial translational elongation	3	5.525899e-30	7.137804e-26	2.379268e-26	1.141279e+1	3.680082e+0	42	3.680082e-3	4.200000e-2	6	8.499869e-26	1.097928e-21	1.829880e-22	7.165460e+0	5.721894e+0	41	85	3.243671e-2	4.823529e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ERAL1,GADD45GIP1,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,PTCD3
GO Biological Process	GO:0070126	mitochondrial translational termination	4	1.041112e-29	1.344804e-25	3.362011e-26	1.122666e+1	3.741094e+0	42	3.741094e-3	4.200000e-2	7	2.693036e-25	3.478595e-21	4.969421e-22	7.000737e+0	5.856527e+0	41	87	3.243671e-2	4.712644e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ERAL1,GADD45GIP1,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,PTCD3
GO Biological Process	GO:0006412	translation	5	2.890025e-29	3.733045e-25	7.466091e-26	4.144530e+0	2.195665e+1	91	2.195665e-2	9.100000e-2	4	5.055471e-28	6.530152e-24	1.632538e-24	3.633939e+0	2.504170e+1	91	372	7.199367e-2	2.446237e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ABCE1,ASMT,CDKAL1,CPEB4,DARS2,DHPS,DHX29,EEF1A1,EEF1B2,EEF1E1,EIF2A,EIF2B5,EIF2D,EIF3E,EIF4G2,ERAL1,FARS2,FARSA,GADD45GIP1,GATB,GEMIN5,HBS1L,IGHMBP2,KARS,LARS2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,NARS,NDUFA7,PTBP1,PTCD3,PTGES3L-AARSD1,QRSL1,RACK1,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,RPS6KB2,SARS2,SECISBP2L,UBA52,WARS2,YARS2
GO Biological Process	GO:0006414	translational elongation	6	2.274407e-28	2.937852e-24	4.896419e-25	8.696266e+0	5.404619e+0	47	5.404619e-3	4.700000e-2	8	4.903444e-25	6.333779e-21	7.917223e-22	6.101252e+0	7.539437e+0	46	112	3.639241e-2	4.107143e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	EEF1A1,EEF1B2,ERAL1,GADD45GIP1,HBS1L,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,PTCD3,RACK1,SECISBP2L
GO Biological Process	GO:0006396	RNA processing	7	1.011990e-27	1.307187e-23	1.867411e-24	2.606364e+0	6.062086e+1	158	6.062086e-2	1.580000e-1	2	9.053532e-29	1.169445e-24	5.847224e-25	2.578454e+0	6.011354e+1	155	893	1.226266e-1	1.735722e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ACIN1,AKAP8L,ALKBH1,ALKBH8,BOP1,CASC3,CDKAL1,CELF1,CHTOP,CPSF2,CSTF1,CSTF2T,CSTF3,CWC22,CWC27,DDX17,DDX23,DDX47,DDX5,DDX54,DHX29,DHX30,DIMT1,DNAJC8,DQX1,ELP4,EMG1,EXOSC10,EXOSC2,EXOSC8,FARS2,GEMIN5,GTF2H1,HNRNPA1,HNRNPA3,HNRNPD,HNRNPM,HNRNPUL1,HSF1,HSPA8,IMP4,IWS1,JMJD6,KARS,KIAA0391,KIAA0907,KRR1,LSM5,LSM7,LUC7L3,METTL16,METTL3,MRM3,MRPL1,MRPL44,MRPS11,MRPS9,MRTO4,MTO1,NGDN,NOL11,NOL9,NSRP1,PABPN1,PCBP1,PCF11,PELP1,PHF5A,PNPT1,POLDIP3,PPP1R8,PPP2CA,PPWD1,PRCC,PRMT5,PRPF8,PTBP1,PTCD2,PUF60,PUM1,QTRT1,RAVER1,RBM15,RBM25,RBM28,RBM39,RBM5,RBM8A,RPF2,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,RPUSD4,RRP15,SART3,SF3B1,SFPQ,SFSWAP,SKIV2L2,SNRNP35,SNRPA,SNRPF,SNW1,SON,SPEN,SREK1,SREK1IP1,SRRM2,SRSF1,SRSF2,SRSF3,SRSF5,SSU72,SUGP1,SUPT5H,TARDBP,TBL3,THRAP3,TRA2A,TRA2B,TRMT1,TRMT12,TRMT13,TRUB1,TRUB2,TSR1,TSR3,TYW3,U2SURP,UBA52,URM1,UTP20,VIRMA,WDR18,WDR33,WDR43,WDR46,WDR77,ZFC3H1,ZFP36L1,ZMAT5,ZNF326,ZRSR2
GO Biological Process	GO:0006415	translational termination	8	1.037015e-27	1.339512e-23	1.674390e-24	9.591743e+0	4.483022e+0	43	4.483022e-3	4.300000e-2	9	1.665821e-24	2.151741e-20	2.390823e-21	6.567572e+0	6.395058e+0	42	95	3.322785e-2	4.421053e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ABCE1,ERAL1,GADD45GIP1,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,PTCD3
GO Biological Process	GO:0043043	peptide biosynthetic process	9	6.622233e-26	8.553938e-22	9.504376e-23	3.709093e+0	2.453430e+1	91	2.453430e-2	9.100000e-2	5	3.164318e-26	4.087350e-22	8.174699e-23	3.448534e+0	2.638803e+1	91	392	7.199367e-2	2.321429e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ABCE1,ASMT,CDKAL1,CPEB4,DARS2,DHPS,DHX29,EEF1A1,EEF1B2,EEF1E1,EIF2A,EIF2B5,EIF2D,EIF3E,EIF4G2,ERAL1,FARS2,FARSA,GADD45GIP1,GATB,GEMIN5,HBS1L,IGHMBP2,KARS,LARS2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,NARS,NDUFA7,PTBP1,PTCD3,PTGES3L-AARSD1,QRSL1,RACK1,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,RPS6KB2,SARS2,SECISBP2L,UBA52,WARS2,YARS2
GO Biological Process	GO:0016071	mRNA metabolic process	10	1.151154e-22	1.486946e-18	1.486946e-19	2.676680e+0	4.632605e+1	124	4.632605e-2	1.240000e-1	10	1.159527e-23	1.497761e-19	1.497761e-20	2.682506e+0	4.436151e+1	119	659	9.414557e-2	1.805766e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ACIN1,AKAP8L,CASC3,CELF1,CHTOP,CNOT3,CPSF2,CSTF1,CSTF2T,CSTF3,CWC22,CWC27,DCP1A,DDX17,DDX23,DDX47,DDX5,DNAJC8,DQX1,EIF3E,EXOSC10,EXOSC2,EXOSC8,GEMIN5,GTF2H1,HBS1L,HNRNPA1,HNRNPA3,HNRNPD,HNRNPM,HNRNPUL1,HSF1,HSPA1B,HSPA8,IWS1,JMJD6,KIAA0907,LSM5,LSM7,LUC7L3,METTL16,METTL3,MRTO4,NBAS,NSRP1,PABPN1,PCBP1,PCF11,PHF5A,PNPT1,PNRC2,POLDIP3,PPP1R8,PPP2CA,PPWD1,PRCC,PRMT5,PRPF8,PTBP1,PTCD2,PUF60,RAVER1,RBM15,RBM25,RBM28,RBM39,RBM5,RBM8A,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL8,RPS11,RPS18,RPS27,RPS28,SART3,SF3B1,SFPQ,SFSWAP,SKIV2L2,SMG5,SMG8,SNRNP35,SNRPA,SNRPF,SNW1,SON,SPEN,SREK1,SREK1IP1,SRRM2,SRSF1,SRSF2,SRSF3,SRSF5,SSU72,SUGP1,SUPT5H,TARDBP,THRAP3,TRA2A,TRA2B,TRUB1,TRUB2,U2SURP,UBA52,VIRMA,WDR33,WDR77,ZFP36L1,ZMAT5,ZNF326,ZRSR2
