# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Cellular Component	GO:0030529	intracellular ribonucleoprotein complex	1	8.804500e-35	1.467710e-31	1.467710e-31	3.086916e+0	4.988798e+1	154	4.988798e-2	1.540000e-1	2	6.353759e-33	1.059172e-29	5.295858e-30	2.810447e+0	5.479555e+1	154	814	1.218354e-1	1.891892e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AAMP,AKAP8L,BOP1,CALR,CASC3,CELF1,CHTOP,CIRBP,CNOT3,CPEB4,CSNK1A1,CWC22,CWC27,DCP1A,DDX23,DDX5,DHX29,DHX30,DQX1,EIF2A,EIF2D,EMG1,FASTKD2,FXR1,GADD45GIP1,GEMIN5,GNL3L,HNRNPA1,HNRNPA3,HNRNPD,HNRNPM,HNRNPUL1,HSF1,HSPA1B,HSPA8,IGHMBP2,ILF3,IMP4,JMJD6,KIAA0391,KIAA0907,KRR1,LSM5,LSM7,LUC7L3,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MVP,NCL,NDUFA7,NGDN,NIP7,NPM1,NRDE2,NSRP1,PABPN1,PCBP1,PHF5A,PNPT1,PNRC2,POLDIP3,PPP1R8,PPWD1,PRPF8,PSMC3,PTCD3,PUF60,PUM1,RACK1,RBM25,RBM28,RBM5,RBM8A,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,RPTOR,RRP15,SART3,SECISBP2L,SF3B1,SKIV2L2,SLIRP,SMG5,SNRNP35,SNRPA,SNRPF,SNW1,SREK1,SRRM2,SRSF1,SRSF2,SUGP1,TBL3,TIA1,TIAL1,TNRC6B,TRA2B,TSR1,UBA52,UTP20,WDR46,WDR74,ZFP36L1,ZMAT5,ZNF326,ZRSR2
GO Cellular Component	GO:1990904	ribonucleoprotein complex	2	1.012867e-34	1.688449e-31	8.442246e-32	3.082985e+0	4.995158e+1	154	4.995158e-2	1.540000e-1	1	2.764392e-33	4.608241e-30	4.608241e-30	2.818310e+0	5.499750e+1	155	817	1.226266e-1	1.897185e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AAMP,AKAP8L,BOP1,CALR,CASC3,CBX5,CELF1,CHTOP,CIRBP,CNOT3,CPEB4,CSNK1A1,CWC22,CWC27,DCP1A,DDX23,DDX5,DHX29,DHX30,DQX1,EIF2A,EIF2D,EMG1,FASTKD2,FXR1,GADD45GIP1,GEMIN5,GNL3L,HNRNPA1,HNRNPA3,HNRNPD,HNRNPM,HNRNPUL1,HSF1,HSPA1B,HSPA8,IGHMBP2,ILF3,IMP4,JMJD6,KIAA0391,KIAA0907,KRR1,LSM5,LSM7,LUC7L3,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MVP,NCL,NDUFA7,NGDN,NIP7,NPM1,NRDE2,NSRP1,PABPN1,PCBP1,PHF5A,PNPT1,PNRC2,POLDIP3,PPP1R8,PPWD1,PRPF8,PSMC3,PTCD3,PUF60,PUM1,RACK1,RBM25,RBM28,RBM5,RBM8A,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,RPTOR,RRP15,SART3,SECISBP2L,SF3B1,SKIV2L2,SLIRP,SMG5,SNRNP35,SNRPA,SNRPF,SNW1,SREK1,SRRM2,SRSF1,SRSF2,SUGP1,TBL3,TIA1,TIAL1,TNRC6B,TRA2B,TSR1,UBA52,UTP20,WDR46,WDR74,ZFP36L1,ZMAT5,ZNF326,ZRSR2
GO Cellular Component	GO:0005761	mitochondrial ribosome	3	5.045886e-28	8.411492e-25	2.803831e-25	1.200196e+1	3.166149e+0	38	3.166149e-3	3.800000e-2	8	1.856425e-21	3.094660e-18	3.868326e-19	6.466391e+0	5.721894e+0	37	85	2.927215e-2	4.352941e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	GADD45GIP1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS35,MRPS6,MRPS9,NDUFA7
GO Cellular Component	GO:0044391	ribosomal subunit	4	4.550878e-27	7.586314e-24	1.896578e-24	6.408105e+0	8.738933e+0	56	8.738933e-3	5.600000e-2	9	6.924642e-21	1.154338e-17	1.282598e-18	4.336119e+0	1.245353e+1	54	185	4.272152e-2	2.918919e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	EIF2A,EIF2D,GEMIN5,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS35,MRPS6,MRPS9,NPM1,RACK1,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28
GO Cellular Component	GO:0005743	mitochondrial inner membrane	5	2.484094e-26	4.140985e-23	8.281969e-24	3.478706e+0	2.874632e+1	100	2.874632e-2	1.000000e-1	3	3.462093e-24	5.771309e-21	1.923770e-21	3.018868e+0	3.345625e+1	101	497	7.990506e-2	2.032193e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ATP5F1,ATP5G2,ATP5J2,ATPIF1,COQ4,COQ5,COQ9,COX10,COX8A,CRAT,DMAC2,DNAJC11,ECSIT,ENSG00000256100,ERAL1,GHITM,HMGCL,IMMP1L,IMMT,MICU2,MPC2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MTFP1,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFAF6,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,OXA1L,PHB2,PISD,PMPCA,PMPCB,PTCD3,SAMM50,SDHB,SDHC,SLC25A26,SLC25A44,SLC25A53,SMDT1,SPNS1,TIMM22,TIMM29,TIMM44,TIMM50,TMEM11,TMEM126A,TOMM22,UQCC2,UQCR10,UQCRC1,UQCRH,UQCRHL
GO Cellular Component	GO:0005740	mitochondrial envelope	6	1.931675e-24	3.220102e-21	5.366837e-22	2.739670e+0	4.708597e+1	129	4.708597e-2	1.290000e-1	4	8.022306e-24	1.337318e-20	3.343296e-21	2.568798e+0	5.021803e+1	129	746	1.020570e-1	1.729223e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ATP5F1,ATP5G2,ATP5J2,ATPIF1,BAD,BAK1,BAX,CCDC90B,CHCHD5,CIAPIN1,COQ4,COQ5,COQ9,COX10,COX8A,CRAT,DIABLO,DMAC2,DNAJC11,ECSIT,ENSG00000256100,ERAL1,GFER,GHITM,GK,GOLPH3,HMGCL,HSD17B8,HTRA2,IMMP1L,IMMT,LYRM7,MFF,MFN1,MFN2,MGARP,MICU2,MIGA1,MLXIP,MPC2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MTFP1,MTX1,MTX3,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFAF6,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,OXA1L,PHB2,PISD,PMPCA,PMPCB,PNPT1,PTCD3,QTRT1,RTN4IP1,SAMM50,SDHB,SDHC,SLC25A26,SLC25A44,SLC25A53,SMDT1,SPNS1,TIMM22,TIMM29,TIMM44,TIMM50,TMEM11,TMEM126A,TOMM22,TOMM40L,TOMM6,UBA52,UBIAD1,UQCC2,UQCR10,UQCRC1,UQCRH,UQCRHL
GO Cellular Component	GO:0005840	ribosome	7	3.331466e-24	5.553554e-21	7.933648e-22	4.986219e+0	1.243427e+1	62	1.243427e-2	6.200000e-2	10	1.915005e-20	3.192313e-17	3.192313e-18	3.839697e+0	1.588667e+1	61	236	4.825949e-2	2.584746e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	EIF2A,EIF2D,GADD45GIP1,GEMIN5,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,NDUFA7,NPM1,PNPT1,PTCD3,RACK1,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,UBA52
GO Cellular Component	GO:0019866	organelle inner membrane	8	5.997966e-24	9.998609e-21	1.249826e-21	3.155647e+0	3.263990e+1	103	3.263990e-2	1.030000e-1	7	3.755693e-22	6.260740e-19	8.943915e-20	2.793749e+0	3.722597e+1	104	553	8.227848e-2	1.880651e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ATP5F1,ATP5G2,ATP5J2,ATPIF1,COQ4,COQ5,COQ9,COX10,COX8A,CRAT,DMAC2,DNAJC11,ECSIT,ENSG00000256100,ERAL1,GHITM,HMGCL,IMMP1L,IMMT,LEMD2,LEMD3,MICU2,MPC2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MTFP1,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFAF6,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,OXA1L,PHB2,PISD,PMPCA,PMPCB,PTCD3,SAMM50,SDHB,SDHC,SLC25A26,SLC25A44,SLC25A53,SMDT1,SPNS1,TIMM22,TIMM29,TIMM44,TIMM50,TMEM11,TMEM126A,TOMM22,TRA2B,UQCC2,UQCR10,UQCRC1,UQCRH,UQCRHL
GO Cellular Component	GO:0031966	mitochondrial membrane	9	2.365450e-23	3.943205e-20	4.381339e-21	2.742871e+0	4.484353e+1	123	4.484353e-2	1.230000e-1	5	1.218621e-22	2.031441e-19	4.062882e-20	2.574342e+0	4.739074e+1	122	704	9.651899e-2	1.732955e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ATP5F1,ATP5G2,ATP5J2,ATPIF1,BAD,BAK1,BAX,CCDC90B,COQ4,COQ5,COQ9,COX10,COX8A,CRAT,DMAC2,DNAJC11,ECSIT,ENSG00000256100,ERAL1,GHITM,GK,HMGCL,HTRA2,IMMP1L,IMMT,LYRM7,MFF,MFN1,MFN2,MGARP,MICU2,MIGA1,MLXIP,MPC2,MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,MTFP1,MTX1,MTX3,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFAF6,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,OXA1L,PHB2,PISD,PMPCA,PMPCB,PTCD3,QTRT1,RTN4IP1,SAMM50,SDHB,SDHC,SLC25A26,SLC25A44,SLC25A53,SMDT1,SPNS1,TIMM22,TIMM29,TIMM44,TIMM50,TMEM11,TMEM126A,TOMM22,TOMM40L,TOMM6,UBA52,UBIAD1,UQCC2,UQCR10,UQCRC1,UQCRH,UQCRHL
GO Cellular Component	GO:0005759	mitochondrial matrix	10	3.503708e-23	5.840681e-20	5.840681e-21	3.350836e+0	2.745584e+1	92	2.745584e-2	9.200000e-2	6	1.346178e-22	2.244079e-19	3.740131e-20	3.043030e+0	3.056164e+1	93	454	7.357595e-2	2.048458e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ABCE1,ACADSB,ACO2,ADPRHL2,ALDH6A1,ATP5F1,CA5B,CLPP,COQ5,DARS2,DBT,DHX30,DIMT1,DNAJA3,ERAL1,FARS2,FASTK,FASTKD2,FDX2,GADD45GIP1,HMGCL,HSD17B8,IBA57,IDH3B,ISCU,KARS,KIAA0391,LARS2,LONP1,LYRM4,LYRM7,MRM3,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL39,MRPL44,MRPL46,MRPL47,MRPL48,MRPL51,MRPL52,MRPL53,MRPL58,MRPL9,MRPS10,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS27,MRPS28,MRPS35,MRPS6,MRPS9,NAGS,NDUFA7,NDUFA9,NDUFS1,NDUFS2,NDUFS3,NDUFS7,NR3C1,PCCB,PDHB,PDHX,PDSS2,PMPCA,PMPCB,POLDIP2,PRDX3,RPUSD4,SARS2,SMDT1,TIMM44,TP53,TRUB2,TXNRD2,UQCC2,WARS2,YARS2
