# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0003735	structural constituent of ribosome	1	2.227589e-21	9.297956e-18	9.297956e-18	5.860931e+0	8.019204e+0	47	8.019204e-3	4.700000e-2	1	1.819549e-17	7.594798e-14	7.594798e-14	4.218149e+0	1.090526e+1	46	162	3.639241e-2	2.839506e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	MRPL1,MRPL11,MRPL19,MRPL2,MRPL20,MRPL21,MRPL22,MRPL3,MRPL35,MRPL36,MRPL37,MRPL46,MRPL47,MRPL51,MRPL52,MRPL9,MRPS11,MRPS12,MRPS14,MRPS15,MRPS18A,MRPS18B,MRPS18C,MRPS22,MRPS24,MRPS30,MRPS34,MRPS35,MRPS6,MRPS9,NDUFA7,RPL11,RPL12,RPL13A,RPL14,RPL18,RPL23A,RPL35A,RPL5,RPL7L1,RPL8,RPS11,RPS18,RPS27,RPS28,UBA52
GO Molecular Function	GO:0019843	rRNA binding	2	3.797544e-16	1.585095e-12	7.925474e-13	1.110047e+1	1.981897e+0	22	1.981897e-3	2.200000e-2	3	1.319481e-10	5.507514e-7	1.835838e-7	5.199328e+0	4.038984e+0	21	60	1.661392e-2	3.500000e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	CIRBP,EMG1,ERAL1,FASTKD2,IMP4,MRPL11,MRPL20,MRPS11,MRPS27,MRPS6,NOP53,NPM1,PTCD3,RPF2,RPL11,RPL12,RPL23A,RPL5,RPL8,RPS11,RPS18
GO Molecular Function	GO:0003954	NADH dehydrogenase activity	3	1.972985e-11	8.235239e-8	2.745080e-8	9.040633e+0	1.880399e+0	17	1.880399e-3	1.700000e-2	4	3.315635e-8	1.383946e-4	3.459865e-5	5.057097e+0	3.163871e+0	16	47	1.265823e-2	3.404255e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	NARF,NARFL,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7
GO Molecular Function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	4	1.285667e-9	5.366374e-6	1.341594e-6	8.102772e+0	1.851218e+0	15	1.851218e-3	1.500000e-2	7	8.435696e-7	3.521060e-3	5.030085e-4	4.621624e+0	3.029238e+0	14	45	1.107595e-2	3.111111e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7
GO Molecular Function	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	5	2.959999e-8	1.235504e-4	2.471007e-5	5.901073e+0	2.711371e+0	16	2.711371e-3	1.600000e-2	9	4.616880e-6	1.927086e-2	2.141206e-3	3.841868e+0	3.904351e+0	15	58	1.186709e-2	2.586207e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	CRYZ,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7
GO Molecular Function	GO:0043021	ribonucleoprotein complex binding	6	2.818091e-7	1.176271e-3	1.960452e-4	3.581464e+0	6.421955e+0	23	6.421955e-3	2.300000e-2	11	7.347409e-6	3.066809e-2	2.788008e-3	2.841868e+0	7.741386e+0	22	115	1.740506e-2	1.913043e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ABCE1,BOP1,CBX5,CPEB4,CSNK2B,DDX5,DHX29,EIF2A,ERAL1,GEMIN5,IGHMBP2,MRPS27,NAA15,NPM1,OXA1L,PRMT5,PTCD3,RACK1,SECISBP2L,SMG5,SNRPA,TIMM50
GO Molecular Function	GO:0016651	oxidoreductase activity, acting on NAD(P)H	7	1.137680e-6	4.748676e-3	6.783823e-4	3.295652e+0	6.978893e+0	23	6.978893e-3	2.300000e-2	8	2.935207e-6	1.225155e-2	1.531444e-3	2.998302e+0	7.337487e+0	22	109	1.740506e-2	2.018349e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	CRYZ,CYB5RL,ECSIT,NARF,NARFL,NDOR1,NDUFA13,NDUFA5,NDUFA7,NDUFA9,NDUFB1,NDUFB5,NDUFB9,NDUFC1,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,PRDX3,TXNRD2
GO Molecular Function	GO:0003729	mRNA binding	8	1.255875e-6	5.242022e-3	6.552528e-4	2.282553e+0	1.840045e+1	42	1.840045e-2	4.200000e-2	2	8.597465e-12	3.588582e-8	1.794291e-8	3.232743e+0	1.299206e+1	42	193	3.322785e-2	2.176166e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ANGEL2,CALR,CELF1,CIRBP,CPEB4,CRYZ,CSTF2T,CSTF3,DCP1A,DDX5,EIF2A,FXR1,GEMIN5,HNRNPA3,HNRNPD,LUC7L3,MBD2,METTL3,MRPS11,NCL,NSRP1,PCBP1,PCF11,PPP1R8,PUM1,RBM25,RBM5,RBM8A,RNF40,RPL13A,RPL5,SECISBP2L,SF3B1,SLC4A1AP,SNRNP35,SRSF1,SRSF3,SUPT5H,TARDBP,TP53,TRA2B,ZFP36L1
GO Molecular Function	GO:0000049	tRNA binding	9	1.056579e-5	4.410161e-2	4.900179e-3	4.193227e+0	3.338717e+0	14	3.338717e-3	1.400000e-2	10	5.731443e-6	2.392304e-2	2.392304e-3	3.999483e+0	3.500453e+0	14	52	1.107595e-2	2.692308e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ALKBH1,ALKBH8,DARS2,EEF1A1,EIF2A,FARS2,FARSA,IGHMBP2,KARS,MRPS27,RPL35A,TRMT1,YARS2
GO Molecular Function	GO:0015105	arsenite transmembrane transporter activity	10	1.223481e-5	5.106810e-2	5.106810e-3	4.034438e+2	4.957321e-3	2	4.957321e-6	2.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.	ASNA1
GO Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	11	2.057882e-5	8.589599e-2	7.808727e-3	4.543423e+0	2.641181e+0	12	2.641181e-3	1.200000e-2	22	1.488443e-4	6.212761e-1	2.823982e-2	3.631276e+0	3.029238e+0	11	45	8.702532e-3	2.444444e-1	.,.,.,.,.,.,.,.,.,.,.,.	AARS2,DARS2,FARS2,FARSA,KARS,LARS2,NARS,PTGES3L-AARSD1,SARS2,WARS2,YARS2
GO Molecular Function	GO:0004348	glucosylceramidase activity	12	2.118600e-5	8.843036e-2	7.369197e-3	5.885396e+1	5.097363e-2	3	5.097363e-5	3.000000e-3	418	1.886691e-1	1.000000e+0	1.000000e+0	4.951741e+0	2.019492e-1	1	3	7.911392e-4	3.333333e-1	.,.,.	GBA
GO Molecular Function	GO:0016741	transferase activity, transferring one-carbon groups	13	2.325323e-5	9.705898e-2	7.466076e-3	2.104642e+0	1.805533e+1	38	1.805533e-2	3.800000e-2	6	2.405482e-7	1.004048e-3	1.673414e-4	2.487073e+0	1.487692e+1	37	221	2.927215e-2	1.674208e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ALKBH8,ASH2L,ASMT,CAMKMT,CARM1,CIAPIN1,COMT,COQ5,CXXC1,DIMT1,DOT1L,ECE2,EMG1,FAM98A,GART,KMT2E,KMT5B,METTL16,METTL23,METTL25,METTL3,METTL4,MRM3,NSD2,NTMT1,PRDM10,PRMT5,SETD3,SETDB2,SMYD5,TRMT1,TRMT13,TYW3,VCPKMT,WDR77,WDR82,ZCCHC4
GO Molecular Function	GO:0008168	methyltransferase activity	14	2.962706e-5	1.236633e-1	8.833096e-3	2.104647e+0	1.758014e+1	37	1.758014e-2	3.700000e-2	5	1.911349e-7	7.977971e-4	1.595594e-4	2.546609e+0	1.413644e+1	36	210	2.848101e-2	1.714286e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ALKBH8,ASH2L,ASMT,CAMKMT,CARM1,CIAPIN1,COMT,COQ5,CXXC1,DIMT1,DOT1L,ECE2,EMG1,FAM98A,KMT2E,KMT5B,METTL16,METTL23,METTL25,METTL3,METTL4,MRM3,NSD2,NTMT1,PRDM10,PRMT5,SETD3,SETDB2,SMYD5,TRMT1,TRMT13,TYW3,VCPKMT,WDR77,WDR82,ZCCHC4
GO Molecular Function	GO:0051082	unfolded protein binding	15	4.608196e-5	1.923461e-1	1.282307e-2	3.297752e+0	4.851790e+0	16	4.851790e-3	1.600000e-2	37	1.899760e-3	1.000000e+0	2.143135e-1	2.242298e+0	7.135538e+0	16	106	1.265823e-2	1.509434e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AAMP,AIP,CALR,CCDC115,DNAJA3,HSPA1B,HSPA8,HTRA2,LMAN1,MKKS,NPM1,NUDCD3,PFDN1,PFDN6,TOR1A,TTC1
GO Molecular Function	GO:0070984	SET domain binding	16	8.957999e-5	3.739069e-1	2.336918e-2	1.486791e+2	1.345179e-2	2	1.345179e-5	2.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.	WIZ
GO Molecular Function	GO:0017069	snRNA binding	17	1.107592e-4	4.623089e-1	2.719464e-2	5.665776e+0	1.411987e+0	8	1.411987e-3	8.000000e-3	51	3.282112e-3	1.000000e+0	2.686183e-1	3.127415e+0	2.558023e+0	8	38	6.329114e-3	2.105263e-1	.,.,.,.,.,.,.,.	GEMIN5,HEXIM2,LSM7,METTL16,PRPF8,SART3,SNRNP35,SNRPA
GO Molecular Function	GO:0042809	vitamin D receptor binding	18	1.510760e-4	6.305912e-1	3.503285e-2	6.332340e+0	1.105437e+0	7	1.105437e-3	7.000000e-3	13	2.452359e-5	1.023615e-1	7.873959e-3	6.932437e+0	1.009746e+0	7	15	5.537975e-3	4.666667e-1	.,.,.,.,.,.,.	MED1,MED13,MED24,MED4,SNW1,TAF7,THRAP3
GO Molecular Function	GO:0017070	U6 snRNA binding	19	2.521689e-4	1.000000e+0	5.539753e-2	1.350299e+1	2.962308e-1	4	2.962308e-4	4.000000e-3	60	4.597469e-3	1.000000e+0	3.198306e-1	5.401899e+0	7.404804e-1	4	11	3.164557e-3	3.636364e-1	.,.,.,.	LSM7,METTL16,PRPF8,SART3
GO Molecular Function	GO:0046966	thyroid hormone receptor binding	20	4.781488e-4	1.000000e+0	9.978965e-2	4.544541e+0	1.760354e+0	8	1.760354e-3	8.000000e-3	26	3.801382e-4	1.000000e+0	6.102680e-2	4.244349e+0	1.884859e+0	8	28	6.329114e-3	2.857143e-1	.,.,.,.,.,.,.,.	MED1,MED13,MED24,MED4,NCOR1,TAF7,THRAP3,TRIP12
GO Molecular Function	GO:0004045	aminoacyl-tRNA hydrolase activity	21	7.459563e-4	1.000000e+0	1.482677e-1	1.742507e+1	1.721657e-1	3	1.721657e-4	3.000000e-3	46	2.745269e-3	1.000000e+0	2.491033e-1	8.913133e+0	3.365820e-1	3	5	2.373418e-3	6.000000e-1	.,.,.	MRPL58,PTRH1,PTRHD1
GO Molecular Function	GO:0019784	NEDD8-specific protease activity	22	7.703363e-4	1.000000e+0	1.461538e-1	1.723102e+1	1.741047e-1	3	1.741047e-4	3.000000e-3	69	8.672872e-3	1.000000e+0	5.246459e-1	6.366524e+0	4.712148e-1	3	7	2.373418e-3	4.285714e-1	.,.,.	COPS4,OTUB1,USP21
GO Molecular Function	GO:0008097	5S rRNA binding	23	1.139080e-3	1.000000e+0	2.067183e-1	8.995650e+0	4.446594e-1	4	4.446594e-4	4.000000e-3	60	4.597469e-3	1.000000e+0	3.198306e-1	5.401899e+0	7.404804e-1	4	11	3.164557e-3	3.636364e-1	.,.,.,.	NOP53,RPF2,RPL11,RPL5
GO Molecular Function	GO:0047485	protein N-terminus binding	24	1.267947e-3	1.000000e+0	2.205171e-1	2.229207e+0	8.523211e+0	19	8.523211e-3	1.900000e-2	17	6.722579e-5	2.806004e-1	1.650591e-2	2.688088e+0	7.068222e+0	19	105	1.503165e-2	1.809524e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ARF6,DAXX,DCTN4,EIF3E,EXOC4,HSPA1B,MAU2,MORF4L1,NPM1,PEX14,PEX19,PHB2,RPA2,SCFD1,SRRM2,STX5,TP53,TSC1,ZMYND8
GO Molecular Function	GO:0043422	protein kinase B binding	25	1.797233e-3	1.000000e+0	3.000660e-1	7.933248e+0	5.042071e-1	4	5.042071e-4	4.000000e-3	144	4.234154e-2	1.000000e+0	1.000000e+0	3.713805e+0	8.077968e-1	3	12	2.373418e-3	2.500000e-1	.,.,.,.	BAD,SRSF1,SRSF5
GO Molecular Function	GO:0008327	methyl-CpG binding	26	1.803355e-3	1.000000e+0	2.895078e-1	5.896570e+0	8.479507e-1	5	8.479507e-4	5.000000e-3	73	1.126354e-2	1.000000e+0	6.440276e-1	3.536958e+0	1.413644e+0	5	21	3.955696e-3	2.380952e-1	.,.,.,.,.	CHTOP,MBD2,PRMT5,WDR77,ZBTB38
GO Molecular Function	GO:0070181	small ribosomal subunit rRNA binding	27	2.230488e-3	1.000000e+0	3.448169e-1	1.185638e+1	2.530283e-1	3	2.530283e-4	3.000000e-3	82	1.318750e-2	1.000000e+0	6.712759e-1	5.570708e+0	5.385312e-1	3	8	2.373418e-3	3.750000e-1	.,.,.	CIRBP,MRPS11,MRPS6
GO Molecular Function	GO:0098847	sequence-specific single stranded DNA binding	28	2.330352e-3	1.000000e+0	3.473889e-1	5.554598e+0	9.001552e-1	5	9.001552e-4	5.000000e-3	33	1.642973e-3	1.000000e+0	2.078112e-1	5.305436e+0	9.424296e-1	5	14	3.955696e-3	3.571429e-1	.,.,.,.,.	HNRNPA1,HSF1,PCBP1,RPA2,TERF2IP
GO Molecular Function	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	29	2.382541e-3	1.000000e+0	3.429216e-1	1.915049e+0	1.253232e+1	24	1.253232e-2	2.400000e-2	23	1.924174e-4	8.031502e-1	3.491958e-2	2.262716e+0	1.016478e+1	23	151	1.819620e-2	1.523179e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ASH2L,ASMT,CAMKMT,CARM1,COMT,CXXC1,DIMT1,DOT1L,EMG1,KMT2E,KMT5B,METTL16,METTL3,METTL4,MRM3,NSD2,PRMT5,SETD3,SETDB2,TRMT1,VCPKMT,WDR77,WDR82
GO Molecular Function	GO:0004813	alanine-tRNA ligase activity	30	2.898928e-3	1.000000e+0	4.033375e-1	2.558115e+1	7.818256e-2	2	7.818256e-5	2.000000e-3	109	2.479530e-2	1.000000e+0	9.495008e-1	7.427611e+0	2.692656e-1	2	4	1.582278e-3	5.000000e-1	.,.	AARS2,PTGES3L-AARSD1
GO Molecular Function	GO:0008121	ubiquinol-cytochrome-c reductase activity	31	2.944443e-3	1.000000e+0	3.964550e-1	6.910589e+0	5.788219e-1	4	5.788219e-4	4.000000e-3	38	1.957338e-3	1.000000e+0	2.149981e-1	6.602321e+0	6.058476e-1	4	9	3.164557e-3	4.444444e-1	.,.,.,.	UQCR10,UQCRC1,UQCRH,UQCRHL
GO Molecular Function	GO:0003688	DNA replication origin binding	32	3.110170e-3	1.000000e+0	4.056828e-1	5.189486e+0	9.634866e-1	5	9.634866e-4	5.000000e-3	42	2.328864e-3	1.000000e+0	2.314447e-1	4.951741e+0	1.009746e+0	5	15	3.955696e-3	3.333333e-1	.,.,.,.,.	CDC45,GRWD1,KAT7,MCM10,MCM5
GO Molecular Function	GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	33	3.215488e-3	1.000000e+0	4.067105e-1	6.740915e+0	5.933912e-1	4	5.933912e-4	4.000000e-3	50	3.089150e-3	1.000000e+0	2.578822e-1	5.942089e+0	6.731640e-1	4	10	3.164557e-3	4.000000e-1	.,.,.,.	UQCR10,UQCRC1,UQCRH,UQCRHL
GO Molecular Function	GO:0030621	U4 snRNA binding	34	3.283220e-3	1.000000e+0	4.030635e-1	2.399650e+1	8.334548e-2	2	8.334548e-5	2.000000e-3	158	5.663503e-2	1.000000e+0	1.000000e+0	4.951741e+0	4.038984e-1	2	6	1.582278e-3	3.333333e-1	.,.	GEMIN5,SART3
GO Molecular Function	GO:0004168	dolichol kinase activity	35	3.446443e-3	1.000000e+0	4.110129e-1	2.896545e+2	3.452389e-3	1	3.452389e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	DOLK
GO Molecular Function	GO:0034038	deoxyhypusine synthase activity	36	3.583483e-3	1.000000e+0	4.154849e-1	2.785583e+2	3.589913e-3	1	3.589913e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	DHPS
