# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Human Phenotype	HP:0002151	Increased serum lactate	1	5.169242e-8	3.433927e-4	3.433927e-4	4.107327e+0	5.356282e+0	22	5.356282e-3	2.200000e-2	8	6.328210e-7	4.203830e-3	5.254787e-4	3.268149e+0	6.731640e+0	22	100	1.740506e-2	2.200000e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ATPAF2,COQ4,COQ9,COX10,FARS2,FASTKD2,HTRA2,ISCU,LYRM7,MRPL3,MRPL44,MRPS22,MTO1,NDUFA9,NDUFAF6,NDUFS3,NDUFS4,NDUFS7,PDSS2,SLC25A26,YARS2
Human Phenotype	HP:0004360	Abnormality of acid-base homeostasis	2	2.574198e-7	1.710040e-3	8.550199e-4	2.318949e+0	1.983657e+1	46	1.983657e-2	4.600000e-2	1	1.822769e-9	1.210865e-5	1.210865e-5	2.576367e+0	1.824274e+1	47	271	3.718354e-2	1.734317e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,AIP,ALDH6A1,ATPAF2,COQ4,COQ9,COX10,DBT,FARS2,FASTKD2,GK,HCFC1,HMGCL,HTRA2,IBA57,ISCU,KYNU,LARS2,LYRM4,LYRM7,MMADHC,MRPL3,MRPL44,MRPS22,MTO1,NDUFA9,NDUFAF6,NDUFB9,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,NEUROG3,NFU1,NR3C1,PCCB,PDHB,PDHX,PDSS2,PLPBP,SARS2,SLC25A26,UMPS,UQCC2,YARS2
Human Phenotype	HP:0003128	Lactic acidosis	3	3.852376e-7	2.559133e-3	8.530445e-4	3.123658e+0	8.643713e+0	27	8.643713e-3	2.700000e-2	5	1.038172e-7	6.896577e-4	1.379315e-4	3.036104e+0	9.222346e+0	28	137	2.215190e-2	2.043796e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	AARS2,ATPAF2,COQ9,COX10,DBT,FARS2,FASTKD2,IBA57,ISCU,LARS2,LYRM4,LYRM7,MTO1,NDUFA9,NDUFAF6,NDUFB9,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,NFU1,PCCB,PDHB,PDHX,SLC25A26,YARS2
Human Phenotype	HP:0007817	Horizontal supranuclear gaze palsy	4	4.591008e-7	3.049807e-3	7.624517e-4	6.852241e+1	5.837506e-2	4	5.837506e-5	4.000000e-3	124	4.528154e-3	1.000000e+0	2.425849e-1	1.485522e+1	1.346328e-1	2	2	1.582278e-3	1.000000e+0	.,.,.,.	GBA,ROBO3
Human Phenotype	HP:0006775	Multiple myeloma	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
Human Phenotype	HP:0007885	Slowed horizontal saccades	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
Human Phenotype	HP:0200129	Calcific mitral stenosis	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
Human Phenotype	HP:0003656	Decreased beta-glucocerebrosidase protein and activity	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
Human Phenotype	HP:0007975	Hypometric horizontal saccades	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
Human Phenotype	HP:0005173	Calcific aortic valve stenosis	5	4.632108e-7	3.077109e-3	6.154219e-4	2.124133e+2	1.412341e-2	3	1.412341e-5	3.000000e-3	381	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.,.,.	GBA
