




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (937)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrial translation (GO:0032543)	54	22	2.46	+	8.95	6.85E-13	2.11E-10
positive regulation of mitochondrial translation (GO:0070131)	16	6	.73	+	8.24	2.74E-04	1.66E-02
ribosomal large subunit assembly (GO:0000027)	27	9	1.23	+	7.33	1.75E-05	1.64E-03
mRNA transcription (GO:0009299)	18	6	.82	+	7.33	4.58E-04	2.60E-02
establishment of protein localization to mitochondrial membrane (GO:0090151)	25	8	1.14	+	7.03	6.56E-05	4.92E-03
alternative mRNA splicing, via spliceosome (GO:0000380)	22	7	1.00	+	6.99	1.94E-04	1.22E-02
protein insertion into mitochondrial membrane (GO:0051204)	20	6	.91	+	6.59	7.28E-04	3.75E-02
cleavage involved in rRNA processing (GO:0000469)	27	8	1.23	+	6.51	1.03E-04	7.08E-03
mitochondrial gene expression (GO:0140053)	88	26	4.00	+	6.49	2.52E-12	7.33E-10
metallo-sulfur cluster assembly (GO:0031163)	25	7	1.14	+	6.15	3.74E-04	2.20E-02
iron-sulfur cluster assembly (GO:0016226)	25	7	1.14	+	6.15	3.74E-04	2.19E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	103	27	4.69	+	5.76	1.01E-11	2.64E-09
positive regulation of DNA-templated transcription, elongation (GO:0032786)	27	7	1.23	+	5.70	5.54E-04	2.98E-02
NADH dehydrogenase complex assembly (GO:0010257)	58	15	2.64	+	5.68	4.64E-07	5.85E-05
mitochondrial respiratory chain complex I assembly (GO:0032981)	58	15	2.64	+	5.68	4.64E-07	5.80E-05
inner mitochondrial membrane organization (GO:0007007)	35	9	1.59	+	5.65	9.66E-05	6.73E-03
ribosome assembly (GO:0042255)	61	15	2.78	+	5.40	8.03E-07	9.72E-05
regulation of mRNA processing (GO:0050684)	139	34	6.32	+	5.38	1.15E-13	4.41E-11
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	45	11	2.05	+	5.37	2.47E-05	2.17E-03
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	29	7	1.32	+	5.31	7.98E-04	4.04E-02
regulation of mitochondrial gene expression (GO:0062125)	29	7	1.32	+	5.31	7.98E-04	4.02E-02
ribosomal large subunit biogenesis (GO:0042273)	72	17	3.28	+	5.19	2.46E-07	3.21E-05
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	60	14	2.73	+	5.13	3.16E-06	3.43E-04
protein targeting to mitochondrion (GO:0006626)	56	13	2.55	+	5.10	7.42E-06	7.69E-04
protein insertion into membrane (GO:0051205)	52	12	2.37	+	5.07	1.75E-05	1.65E-03
maturation of 5.8S rRNA (GO:0000460)	35	8	1.59	+	5.02	4.66E-04	2.62E-02
establishment of protein localization to mitochondrion (GO:0072655)	71	16	3.23	+	4.95	9.46E-07	1.12E-04
tRNA aminoacylation (GO:0043039)	45	10	2.05	+	4.88	1.14E-04	7.78E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	36	8	1.64	+	4.88	5.48E-04	2.96E-02
regulation of RNA splicing (GO:0043484)	150	33	6.82	+	4.84	3.24E-12	9.12E-10
amino acid activation (GO:0043038)	46	10	2.09	+	4.78	1.34E-04	8.99E-03
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	37	8	1.68	+	4.75	6.42E-04	3.39E-02
spliceosomal complex assembly (GO:0000245)	56	12	2.55	+	4.71	3.30E-05	2.69E-03
protein localization to mitochondrion (GO:0070585)	79	16	3.59	+	4.45	3.18E-06	3.43E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	93	18	4.23	+	4.25	1.39E-06	1.57E-04
vesicle budding from membrane (GO:0006900)	57	11	2.59	+	4.24	1.58E-04	1.03E-02
aerobic electron transport chain (GO:0019646)	80	15	3.64	+	4.12	1.44E-05	1.39E-03
protein transmembrane transport (GO:0071806)	59	11	2.68	+	4.10	2.06E-04	1.29E-02
translation (GO:0006412)	366	68	16.65	+	4.08	2.65E-20	2.46E-17
mitochondrial membrane organization (GO:0007006)	110	20	5.00	+	4.00	8.70E-07	1.04E-04
ribonucleoprotein complex export from nucleus (GO:0071426)	73	13	3.32	+	3.91	8.45E-05	6.10E-03
RNA destabilization (GO:0050779)	73	13	3.32	+	3.91	8.45E-05	6.07E-03
RNA methylation (GO:0001510)	85	15	3.87	+	3.88	2.71E-05	2.28E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	85	15	3.87	+	3.88	2.71E-05	2.27E-03
ATP synthesis coupled electron transport (GO:0042773)	85	15	3.87	+	3.88	2.71E-05	2.25E-03
ribonucleoprotein complex localization (GO:0071166)	74	13	3.37	+	3.86	9.55E-05	6.68E-03
peptide biosynthetic process (GO:0043043)	388	68	17.65	+	3.85	4.10E-19	3.40E-16
mRNA destabilization (GO:0061157)	69	12	3.14	+	3.82	1.91E-04	1.21E-02
autophagosome organization (GO:1905037)	70	12	3.18	+	3.77	2.15E-04	1.34E-02
regulation of mRNA metabolic process (GO:1903311)	291	49	13.24	+	3.70	1.57E-13	5.89E-11
positive regulation of mRNA metabolic process (GO:1903313)	115	19	5.23	+	3.63	5.61E-06	5.89E-04
post-Golgi vesicle-mediated transport (GO:0006892)	97	16	4.41	+	3.63	3.08E-05	2.55E-03
ribosome biogenesis (GO:0042254)	293	48	13.33	+	3.60	6.79E-13	2.14E-10
respiratory electron transport chain (GO:0022904)	105	17	4.78	+	3.56	2.17E-05	1.93E-03
histone lysine methylation (GO:0034968)	69	11	3.14	+	3.50	6.71E-04	3.52E-02
positive regulation of mRNA catabolic process (GO:0061014)	84	13	3.82	+	3.40	2.92E-04	1.76E-02
mRNA splicing, via spliceosome (GO:0000398)	233	36	10.60	+	3.40	2.12E-09	3.89E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	233	36	10.60	+	3.40	2.12E-09	3.84E-07
amide biosynthetic process (GO:0043604)	500	77	22.75	+	3.38	1.35E-18	9.66E-16
tRNA modification (GO:0006400)	91	14	4.14	+	3.38	1.83E-04	1.17E-02
RNA export from nucleus (GO:0006405)	78	12	3.55	+	3.38	5.17E-04	2.81E-02
ribonucleoprotein complex biogenesis (GO:0022613)	424	65	19.29	+	3.37	8.88E-16	4.99E-13
mRNA catabolic process (GO:0006402)	124	19	5.64	+	3.37	1.46E-05	1.39E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	15	4.46	+	3.36	1.14E-04	7.76E-03
lysosome organization (GO:0007040)	72	11	3.28	+	3.36	9.19E-04	4.51E-02
lytic vacuole organization (GO:0080171)	72	11	3.28	+	3.36	9.19E-04	4.49E-02
rRNA metabolic process (GO:0016072)	230	35	10.46	+	3.34	5.03E-09	8.43E-07
RNA catabolic process (GO:0006401)	158	24	7.19	+	3.34	1.31E-06	1.50E-04
RNA splicing, via transesterification reactions (GO:0000375)	237	36	10.78	+	3.34	3.18E-09	5.55E-07
mRNA processing (GO:0006397)	436	66	19.84	+	3.33	9.15E-16	4.97E-13
ribosomal small subunit biogenesis (GO:0042274)	73	11	3.32	+	3.31	1.02E-03	4.91E-02
rRNA processing (GO:0006364)	219	33	9.96	+	3.31	1.70E-08	2.51E-06
ribonucleoprotein complex assembly (GO:0022618)	186	28	8.46	+	3.31	2.08E-07	2.75E-05
RNA splicing (GO:0008380)	355	53	16.15	+	3.28	1.09E-12	3.29E-10
mRNA metabolic process (GO:0016071)	562	83	25.57	+	3.25	5.58E-19	4.39E-16
positive regulation of cellular amide metabolic process (GO:0034250)	163	24	7.42	+	3.24	2.14E-06	2.40E-04
histone methylation (GO:0016571)	89	13	4.05	+	3.21	4.79E-04	2.66E-02
