




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (1065)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	8	5	.41	+	12.09	2.63E-04	1.66E-02
mitochondrial translation (GO:0032543)	54	25	2.79	+	8.95	2.91E-14	1.24E-11
ubiquinone biosynthetic process (GO:0006744)	16	6	.83	+	7.25	5.27E-04	2.91E-02
quinone biosynthetic process (GO:1901663)	16	6	.83	+	7.25	5.27E-04	2.90E-02
positive regulation of mitochondrial translation (GO:0070131)	16	6	.83	+	7.25	5.27E-04	2.89E-02
Golgi to vacuole transport (GO:0006896)	20	7	1.03	+	6.77	2.54E-04	1.63E-02
mitochondrial gene expression (GO:0140053)	88	30	4.55	+	6.59	5.60E-14	2.26E-11
ribosomal large subunit assembly (GO:0000027)	27	9	1.40	+	6.45	4.59E-05	3.52E-03
ubiquinone metabolic process (GO:0006743)	18	6	.93	+	6.45	8.73E-04	4.32E-02
mRNA transcription (GO:0009299)	18	6	.93	+	6.45	8.73E-04	4.31E-02
metallo-sulfur cluster assembly (GO:0031163)	25	8	1.29	+	6.19	1.54E-04	1.08E-02
iron-sulfur cluster assembly (GO:0016226)	25	8	1.29	+	6.19	1.54E-04	1.07E-02
cleavage involved in rRNA processing (GO:0000469)	27	8	1.40	+	5.73	2.39E-04	1.56E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	45	13	2.33	+	5.59	3.65E-06	3.99E-04
establishment of protein localization to mitochondrial membrane (GO:0090151)	25	7	1.29	+	5.41	7.77E-04	4.00E-02
regulation of mitochondrial translation (GO:0070129)	25	7	1.29	+	5.41	7.77E-04	3.98E-02
NADH dehydrogenase complex assembly (GO:0010257)	58	16	3.00	+	5.33	4.75E-07	6.03E-05
mitochondrial respiratory chain complex I assembly (GO:0032981)	58	16	3.00	+	5.33	4.75E-07	5.98E-05
regulation of mitochondrial gene expression (GO:0062125)	29	8	1.50	+	5.33	3.59E-04	2.16E-02
tRNA aminoacylation (GO:0043039)	45	12	2.33	+	5.16	1.70E-05	1.43E-03
ribosome assembly (GO:0042255)	61	16	3.15	+	5.07	8.41E-07	1.03E-04
amino acid activation (GO:0043038)	46	12	2.38	+	5.04	2.05E-05	1.70E-03
protein targeting to mitochondrion (GO:0006626)	56	14	2.90	+	4.83	6.49E-06	6.43E-04
mitochondrial RNA metabolic process (GO:0000959)	44	11	2.28	+	4.83	6.29E-05	4.72E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	103	25	5.33	+	4.69	2.90E-09	5.63E-07
tRNA aminoacylation for protein translation (GO:0006418)	42	10	2.17	+	4.60	1.90E-04	1.27E-02
regulation of mRNA processing (GO:0050684)	139	33	7.19	+	4.59	1.46E-11	3.71E-09
regulation of transcription by RNA polymerase I (GO:0006356)	34	8	1.76	+	4.55	8.83E-04	4.34E-02
protein insertion into membrane (GO:0051205)	52	12	2.69	+	4.46	5.77E-05	4.34E-03
inner mitochondrial membrane organization (GO:0007007)	35	8	1.81	+	4.42	1.04E-03	5.00E-02
maturation of 5.8S rRNA (GO:0000460)	35	8	1.81	+	4.42	1.04E-03	4.98E-02
establishment of protein localization to mitochondrion (GO:0072655)	71	16	3.67	+	4.36	4.59E-06	4.78E-04
ribosomal large subunit biogenesis (GO:0042273)	72	16	3.72	+	4.30	5.35E-06	5.47E-04
regulation of RNA splicing (GO:0043484)	150	33	7.76	+	4.25	8.28E-11	1.92E-08
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	60	13	3.10	+	4.19	5.04E-05	3.85E-03
spliceosomal complex assembly (GO:0000245)	56	12	2.90	+	4.14	1.07E-04	7.70E-03
aerobic electron transport chain (GO:0019646)	80	17	4.14	+	4.11	4.62E-06	4.79E-04
translation (GO:0006412)	366	75	18.93	+	3.96	2.50E-21	2.32E-18
protein localization to mitochondrion (GO:0070585)	79	16	4.09	+	3.92	1.48E-05	1.26E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	85	17	4.40	+	3.87	9.32E-06	8.78E-04
ATP synthesis coupled electron transport (GO:0042773)	85	17	4.40	+	3.87	9.32E-06	8.73E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	93	18	4.81	+	3.74	7.63E-06	7.37E-04
peptide biosynthetic process (GO:0043043)	388	75	20.06	+	3.74	4.81E-20	3.78E-17
regulation of DNA-templated transcription, elongation (GO:0032784)	52	10	2.69	+	3.72	8.28E-04	4.16E-02
RNA destabilization (GO:0050779)	73	14	3.77	+	3.71	8.35E-05	6.20E-03
respiratory electron transport chain (GO:0022904)	105	20	5.43	+	3.68	3.00E-06	3.32E-04
mRNA destabilization (GO:0061157)	69	13	3.57	+	3.64	1.73E-04	1.17E-02
RNA methylation (GO:0001510)	85	16	4.40	+	3.64	3.25E-05	2.58E-03
protein transmembrane transport (GO:0071806)	59	11	3.05	+	3.61	5.81E-04	3.13E-02
post-Golgi vesicle-mediated transport (GO:0006892)	97	18	5.02	+	3.59	1.26E-05	1.12E-03
lysosome organization (GO:0007040)	72	13	3.72	+	3.49	2.50E-04	1.62E-02
lytic vacuole organization (GO:0080171)	72	13	3.72	+	3.49	2.50E-04	1.62E-02
ribosomal small subunit biogenesis (GO:0042274)	73	13	3.77	+	3.44	2.82E-04	1.75E-02
ribosome biogenesis (GO:0042254)	293	52	15.15	+	3.43	5.39E-13	1.81E-10
positive regulation of mRNA metabolic process (GO:1903313)	115	20	5.95	+	3.36	9.94E-06	9.21E-04
regulation of mRNA metabolic process (GO:1903311)	291	50	15.05	+	3.32	4.33E-12	1.18E-09
autophagosome organization (GO:1905037)	70	12	3.62	+	3.32	6.46E-04	3.39E-02
tRNA metabolic process (GO:0006399)	181	31	9.36	+	3.31	5.45E-08	8.50E-06
vacuole organization (GO:0007033)	146	25	7.55	+	3.31	1.04E-06	1.25E-04
rRNA metabolic process (GO:0016072)	230	39	11.89	+	3.28	1.39E-09	2.76E-07
