PeakID (cmd=annotatePeaks.pl top_1000_peaks_GREAT_noheader.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-764	chr3	139343905	139344168	+	1000	NA	promoter-TSS (NM_020191)	promoter-TSS (NM_020191)	42	NM_020191	56945	Hs.745001	NM_020191	ENSG00000175110	MRPS22	C3orf5|COXPD5|GIBT|GK002|MRP-S22|ODG7|RPMS22	mitochondrial ribosomal protein S22	protein-coding
1-748	chr6	135054644	135054926	+	1000	NA	promoter-TSS (NM_001363686)	promoter-TSS (NM_001363686)	37	NM_001145158	10767	Hs.378532	NM_006620	ENSG00000112339	HBS1L	EF-1a|ERFS|HBS1|HSPC276|eRF3c	HBS1 like translational GTPase	protein-coding
1-402	chr14	92121859	92122186	+	1000	NA	promoter-TSS (NM_017437)	promoter-TSS (NM_017437)	53	NM_001322271	53981	Hs.657632	NM_017437	ENSG00000165934	CPSF2	CPSF100	cleavage and polyadenylation specific factor 2	protein-coding
1-960	chr2	38377098	38377386	+	1000	NA	promoter-TSS (NM_001308076)	promoter-TSS (NM_001308076)	31	NM_001330463	64225	Hs.594950	NM_022374	ENSG00000119787	ATL2	ARL3IP2|ARL6IP2|aip-2|atlastin2	atlastin GTPase 2	protein-coding
1-682	chr17	5419479	5419789	+	1000	NA	promoter-TSS (NM_001160246)	promoter-TSS (NM_001160246)	-7	NR_027685	84268	Hs.462086	NM_032308	ENSG00000129197	RPAIN	HRIP|RIP	RPA interacting protein	protein-coding
1-47	chr1	15975881	15976226	+	1000	NA	promoter-TSS (NM_001324138)	promoter-TSS (NM_001324138)	79	NM_001287604	7709	Hs.433764	NM_003443	ENSG00000116809	ZBTB17	MIZ-1|ZNF151|ZNF60|pHZ-67	zinc finger and BTB domain containing 17	protein-coding
1-693	chr2	112645823	112646096	+	1000	NA	promoter-TSS (NM_005415)	promoter-TSS (NM_005415)	20	NM_005415	6574	Hs.187946	NM_005415	ENSG00000144136	SLC20A1	GLVR1|Glvr-1|PIT1|PiT-1	solute carrier family 20 member 1	protein-coding
1-970	chr8	30082831	30083129	+	1000	NA	promoter-TSS (NM_016127)	promoter-TSS (NM_016127)	84	NM_016127	51669	Hs.521487	NM_016127	ENSG00000133872	SARAF	FOAP-7|HSPC035|TMEM66|XTP3	store-operated calcium entry associated regulatory factor	protein-coding
1-161	chr1	222712445	222712924	+	1000	NA	promoter-TSS (NM_001288580)	promoter-TSS (NM_001288580)	120	NR_109927	148362	Hs.534965	NM_144695	ENSG00000162819	BROX	C1orf58	BRO1 domain and CAAX motif containing	protein-coding
1-592	chrX	30889278	30889553	+	1000	NA	promoter-TSS (NM_152787)	promoter-TSS (NM_152787)	-161	NM_152787	257397	Hs.188256	NM_152787	ENSG00000157625	TAB3	MAP3K7IP3|NAP1	TGF-beta activated kinase 1 (MAP3K7) binding protein 3	protein-coding
